.,Spanish
EventHallFosc.text,"Estais dentro de una oscuridad impenetrable.\nPalpais con las manos, esforzais los ojos y afinais el oido.\n Percibís pequeños ruidos por todas partes pero no veis nada. \nLos ruidos se aproximan cada vez más rápido, más cerca.\nOs invade una sensación de humedad en toda la piel y os infecta un fuerte olor, putrefacto y vomitivo."
TokenHall_Vista.text,Un@ investigador@ en el {c:TileHall} puede activar la vista del resto del pasillo.
TokenHall_Vista.button1,Vista
EventHallVistaAd.text,"Delante de ti se abre un pasillo que gira a la derecha.\n \nSitua el modulo {c:TilePasilloComedor}.\nMueve esta ficha de Vista al nuevo final del pasillo. \nPon la ficha de muro a la derecha. \nAñade una de Exploración en la puerta. \nY una de Observación en el mueblecito.\n"
EventHallVistaAd.button1,Continuar
EventHall_Llum.text,"La luz despeja las espesas sombras y os permite reconocer el recibidor.\n Adivinais puertas y muebles. El suelo parece de cerámica ajedrezada.\n En un rincón adivinais una caja de interruptores.\n"
EventHall_Llum.button1,Continuar
TokenHallCaixa.text,Una caja de conexiones con un mecanismo muy rústico
TokenHallCaixa.button1,Activar mecanismo
PuzzleHallCaixaLlum.button1,Activar
TokenPasilloExplMenjador.text,Una vieja puerta con mucho uso, despintada y gastada.
TokenPasilloExplMenjador.button1,Explorar {action}
TokenPasilloVista.text,Cualquier jugador desde {c:TilePasilloComedor} puede activar la vista.
TokenPasilloVista.button1,Ver
EventFAIL.button1,Continuar
UIFAIL.button1,Continuar
UIFAILTEXT.uitext,"Un grito atronador os golpea \nen la cara y el pecho.\nSufrís frio y calor y mucho dolor...\n\nNo sabeis que ha pasado.\n Despertais en una camilla del Hospital de Kingsport \natados con camisa de fuerza y con dolores terribles.\nAun escuchais esos gritos enloquecidos...\n\n¡¡¡Salen de vuestras gargantas!!!!\nCompletamente locos TOD@S.\n\n¡¡HABEIS FRACASADO !!\nY algo terrible va a pasar en este Mundo\n\n{success}{success}{success}"
TokenDespatxExploPorta.text,"Esta formidable puerta está cerrada. \nLa cerradura es plateada."
TokenDespatxExploPorta.button1,Abrir  {action}
EventDespatxPortaTeclau.text,Si eres le investigador@ que tiene la Llave Plateada puedes abrir y entrar
EventDespatxPortaTeclau.button1,Tengo la Llave Plateada
EventDespatxAdBiblioteca.button1,Continuar
EventDespatxAdBiblioteca.text,"Retira la ficha de Exploración.\nAñade la pieza {c:TileBiblioteca}.\n\nLa puerta se abre con un crujido desagradable.\n Las paredes estan llenas de estanterias colmadas de libros.\n Hay pergaminos, libros viejos, volumenes forrados en piel.\n Huele a humedad y a papel podrido.\nY por encima de todo una esencia ácida y picante difícil de respirar.\n\nPon la ficha de Pared (con cuadro).\n"
EventDespatxPortaSenseClau.button1,Forzarla  
EventDespatxPortaForzar.button1,Superado
EventDespatxPortaSenseClau.text," Es una puerta fuerte y bien asegurada.\nQuieres provar a forzarla ?"
EventDespatxPortaForzar.button2,Fallo
EventDespatxPortaForzaFail.text,"Uno de los fragmentos sale disparado, rebota y te golpea en la cabeza.\n\nRecibes una carta de Daño boca abajo"
EventDespatxPortaForzaFail.button1,Continuar
TokenBiblioCadira.text,"Sobre la silla hay un libro abierto. \nquieres echarle un ojo {action}?"
TokenBiblioCadira.button1,Mirar libro {action}
EventBiblioCadiraUllada.text,"Es un libro atávico.\n Las guardas son de piel con incrustaciones metálicas com si se hubiera podido cerrar con llave.\nParece un imposible libro de Hechizos.\n\nObtienes el Hechizo {c:QItemHechizoAtaque}\n\nRetira ficha de Búsqueda"
EventBiblioCadiraUllada.button1,Continuar
EventHallAdDespatx.button1,Continuar
EventDespatxPortaTeclau.button2,Quiero forzar la puerta
EventPasilloAdMenjador.text,"Ves una sala con una gran mesa. \nColoca modulo {c:TileComedor_cocina}\n\nPon ficha de Muro (con armario) en el fondo.\nMueve esta ficha Explorar a la puerta abatible de la derecha.\nA su lado añade un mueble como obstrucción.\n\nAñade Observacion sobre la mesa y en el mueble del fondo.\n \nPuede moverte un espacio al interior"
EventPasilloAdMenjador.button1,Continuar
TokenComedorTaula.button1,Examinar  {action}
EventCuinaArconNODaga.text,"Presionas el triangulo con tus dedos y solo se hunde.\nIntentas con algún objeto pero no es adecuado."
TokenComedorCalaix.text,"Cajonera sencilla, con varias puertas y cajones.\n"
TokenComedorCalaix.button1,Buscar  {action}
TokenComedorExplPortaCuina.button1,Explorar {action}
EventCuinaExplo.text,"La cocina está muy abandonada. \nHace dias que nadie la usa. \nHay platos y utensilios esparcidos. \nUn cajón está abierto.\nHay mas detritus en el suelo\n\nAñade las dos fichas de busqueda\nMueve esta ficha de Exploración a la pequeña puerta.\n\nPuedes moverte un espacio al interior"
TokenComedorExplPortaCuina.text,"Puerta abatible con mucho uso. \nRayaduras. Golpes. Suciedad. \nEl suelo tambien tiene mucho desgaste y manchas secas."
TokenHallExplRoom.button1,Entrar {action}
EventBiblioQuadreDagaTrobada.text,"Tienes en tus manos una antigua pieza de orfebreria.\nAl cogerla por el mango sientes escalofrios en los dedos que aumentan su cadencia por tu brazo. \nVibra y chisporrotea energia pura hasta tu hombro, tu cuello y tu cabeza. \nLos ojos se te nublan y lo ves todo rojo.\n <b>¡Sientes su Poder!  \n {success}</b>\n\nAl usarla como arma se lanzan el doble de dados.\n(puedes consultarla en tu inventario de objetos)\n¡Poder!\nHaz una tirada de ({will}+1, 2) \n "
EventFantasmaMort.button1,Continuar
EventDagaPasa.text,"Sientes el poder y te das cuenta de su fuerza y de que no eres capaz de canalizarla ahora mismo.\nTu mano se aferra al mango y tu mirada busca donde o en quien clavar el filo.\nCon tu otra mano te ayudas a soltarla y a tranquilizarte. Poco a poco. Poco a poco. Dejas la daga en el suelo. \nTu cuerpo se afloja, tu mente se aclara. \nEntiendes aunque no recuerdas. \nCoges el objeto màgico por la hoja y te das cuenta que tiene una forma peculiar. \nUnos canales la surcan de la punta a la empuñadura y ...\n\nTe interrumpen unos ruidos en el Despacho...\n"
EventDagaPasa.button1,Continuar
EventDagaFallo.text,|||Tu cuerpo se crispa y se tensa. \nTu mirada busca donde o en quien clavarse. \nEl objeto adquiere un resplandor verdoso repugnante y necesitas cortar carne. \nNo puedes dominarla, ella te domina a ti.\nHasta que no vierta sangre no podrás salir del hechizo.\n<color=red>La dejas cortar...</color>\nUn@ investigador@ al alcance o tu mismo recibiis dos cartas de Daño boca abajo para poder seguir.\n\nUna vez corre la sangre guardas la daga \ny todo vuelve a la "normalidad".\n\nRecibe un carta de Horror boca abajo\n\nVes que la hoja tiene algo extraño pero no aciertas que. \nTe interrumpen unos ruidos al otro lado de la puerta...\n|||
EventDagaFallo.button1,Continuar
EventRoomMesitaFail.text,"Rebuscas pero no te puedes concentrar. \nAlgo te despista. Te distraes. \nNo recuerdas que haces aquí...\n¿Porque este mueble es diferente al resto de la habitación?"
EventCuinaExplo.button1,Continuar
TokenCuinaTerra.button1,Explorar {action}
TokenCuinaCalaix.text,Un cajon esta abierto
EventCuinaTerra.text,"Te fijas mejor en el suelo. \nTe sorprende que algunas manchas son de barro seco.\nVes huellas de zapatos y de... pies desnudos. \nY una rayadura larga que va de una puerta a la otra junto a un reguero oscuro.\n¿Y esa otra pisada humeda cerca de la puerta interior? \nNo se distingue bien y no reconoces su origen.\n\nObtienes  {c:QItemPruebaCuina}.\nGanas una {clue}\n\nRetira la ficha de Observacion."
EventCuinaTerra.button1,Continuar
TokenCuinaTerra.text,"Ves señales sospechosas en el suelo...\n"
TokenCuinaCalaix.button1,Explorar {action}
EventCuinaCalaix.text,"El cajón esta revuelto pero ves claramente que faltan cubiertos. \nLos espacios de varios cuchillos estan vacios.\n\nEncuentras {c:QItemArmaFilo}.\nGanas una Pista {clue}\n\nRetira la ficha de Búsqueda."
EventCuinaCalaix.button1,Continuar
EventDespatxAdExpl.text,"Las paredes estan llenas de recuerdos truculentos. Armas ancestrales, grabados de paisajes tropicales, grandes mapas de islas desconocidas, máscaras terroríficas o trofeos de caza.\nAñade un ficha de Búsqueda.\n\nSobre la mesa hay papeles. Pon ficha de Busqueda.\n\nPuedes moverte un espacio al interior.\n"
EventDespatxAdExpl.button1,Continuar
TokenDespatxTaula.text,"Hay un montón de papeles sobre la mesa.\nAlgun tipo de ancestral manual en una tipografía quimérica, y papeles con apuntes manuscritos. \nEl tintero se ha volcado y esta manchando los documentos.\nEste era el olor que notabas, tinta fresca! \n\nPara intentar salvar los escritos tira {agility}."
TokenDespatxTaula.button1,Continuar  {action}
EventDespatxTaulaPassat.text,"Saltas como un tigre o tigresa y consigues levantar algunos de los elementos. \nRecoges la tinta con un papel. \nSe pierden la mayoria de documentos pero consigues rescatar el último. \nUn pequeño diario garabateado.\n\n Recoges el objeto único {c:QItemDiario}. \nque puedes consultar en tu Inventario.\n\nRetira la ficha de Búsqueda."
EventDespatxTaulaPassat.button1,Continuar
UIDiarioText1.uitext,"La letra es confusa y la mayoria de pàginas \nen idiomas y grafias desconocidos. \nLo hojeas e intentas leer fragmentos. \nPero algo te impide recordarlos,  \nte cansa y te nubla la visión. \nSolo descifras algunas frases :\n<color=grey>(## son manchas o agujeros)</color>\n                                "
UIDiarioText3.button1,Botón1
UIDiarioText1.button1,Seguir
UIDiarioText2.uitext,"<i>... mas importante es la Familia##\n por ellos ##estoy haciendo# \n..Todos juntos, reunidos ###uevo por \n...ecorrido los siete mares##.\n.. ##abiduria y conocimientos arcanos para pod#...\n...maldito Henry! Le dije que no abriera ningu##... </i>"
EventRoomLlitGetArma.button1,Continuar
TokenCuinaExplRebost.button1,Abrir  {action}
EventDespatxPortaForzar.text,"Coges algún objeto de encima de la mesa y golpeas el cierre violentamente. ({strength},3). \n\nEl objeto se rompe con Ruido y te hiere. \n\nRecibes una carta de Daño.\n"
EventDespatxPortaSenseClau.button2,Dejarlo, de momento
EventDespatxPortaForzarFail2.text,"Al romperse el objeto te desequilibras y caes de bruces contra la puerta. \n\nRecibes el estado Aturdido.\nY se te cae un Objeto aleatorio de las manos."
EventDespatxPortaForzarFail2.button1,Continuar
EventDespatxPortaForzaFail3.text,"Salta un fragmento del objeto y cae bajo la mesa.\n \nAl ir a recogerlo encuentras el objeto común  {c:QItemPitillera}"
EventDespatxPortaForzaFail3.button1,Continuar
EventBiblioAdfichas.text,"Hay estanterias hasta el techo llenas de cosas interesantes, extrañas o espeluznantes\nAñade las fichas de Búsqueda \n"
EventBiblioAdfichas.button1,Continuar
TokenBiblioQuadre.text,"Es una composición muy muy antigua. \nSe adivina una especie de diagrama en ella.\nHay imagenes que se desenfocan al mirarlas.\n Te hacen pensar que esconde algo. \n\n¿Quieres estudiarlo mejor {action}?"
EventPasilloAdEsquina.text,"El pasillo sigue adelante haciendo esquina.\n\nAñade el módulo {c:TileEsquina}. \nY una puerta al fondo."
EventPasilloAdEsquina.button1,Continuar
EventEsquinaAdObs.text,"Parece que el pasillo sigue.\n\nEn la pared izquierda ves un extraño mueble oscuro. \nAl fondo una vieja alfombra.\n \nColoca las dos fichas de Búsqueda. \nAñade fichas de exploración a la puerta del fondo y a la del baño."
EventEsquinaAdObs.button1,Continuar
TokenEsquinaEspejo.text,"Un extraño mueble de madera vieja, con un curioso espejo.\nQuieres observarlo con atención?"
TokenEsquinaEspejo.button1,Investigarlo {action}
EventEsquinaEspejoLook.text,"Te sorprende la curiosa construccion de este mueble, sin molduras ni adornos. \nSimple, incluso vulgar, pero que ejerce en ti el efecto seductor de lo arcano.\nUn gran espejo descansa sobre el, es aún más viejo y raro. Refleja las sombras y las deforma por las paredes como si tuvieran vida propia. \nAl tocar la madera sientes su calor al sol tropical secandose con los aromas de canela y clavo. Es fascinante su tacto cálido y suave. Abres los cajones y te inunda una nostalgia infantil. Encuentras algo dentro pero no quieres sacarlo de ese recipiente amable y sugestivo.\n\nHaz una Tirada de   {will}\n"
EventEsquinaEspejoLook.button1,{success} {success} o mas
TokenEsquinaCatifa.text,"Una gran alfombra cubre el suelo. Ves una arruga sospechosa.\nQuieres Investigar?"
TokenEsquinaCatifa.button1,Investigar  {action}
EventEsquinaCatifa.text,"La alfombra es siniestramente hermosa, tiene dibujos etnicos. Algunos parecen representar danzas festivas o banquetes muy esquematicos y burdos. Saltan alrededor del fuego todos juntos, parece que rien y beben de grandes tazones chorreantes. Otros miran con grandes ojos fijos y negros, que remueven tus recuerdos arquetipicos instintivos.\n\nRecibes una carta de Horror boca abajo anulada por {will}\n\n En la parte mas cercana a la puerta del fondo la alfombra se arruga apelmazada. Como si alguna substancia oscura y viscosa la hubiera empapado y se hubiera arrastrado algo pesado por encima. El rastro viene del final del pasillo.\n\nRecibes la prueba {c:QItemPruebaAlfombra}.\n\nRetira indicador Búsqueda."
EventEsquinaCatifa.button1,Continuar
EventEsquinaEspejo3aciertos.button1,Continuar
EventEsquinaEspejoForat.text,"Te ves entre claroscuros reflejado en el espejo. \nTe miras a los ojos y notas algo extraño en tu boca.\nNo es tu boca: es un agujero!, No tienes boca!\n\nGira la ficha de observación para que sea de Interacción."
Es un pequeño orificio\nTe asustas pero ...\nNo es tu reflejo," es en el propio espejo. \nMueves la cabeza y efectivamente la insignificante hendidura permanece.\nTe acercas a observarla\nTiene una curiosa forma. Como una cruz griega\nSustituye la ficha de Exploracion por una de Interaccion"
EventEsquinaEspejoVisto.text,El espejo sigue atrayendote como la corriente de un rio hacia una cascada...
EventEsquinaEspejoVisto.button1,Continuar
EventEsquinaEspejoLook.button2,{success}
EventEsquinaEspejoLook.button3,Fallo
EventEsquinaEspejo1Acierto.text,"Es tan dulce la sensación, que quieres quedarte ahi.\nPara siempre... \nPero sabes que no es real. Recuerdas donde estas.\nForcejeas para recuperar tus manos y algunas astillas de madera se clavan en tu carne.\n\nRecibes una Carta de Daño anulada por {agility}\nSacas tus manos entumecidas, y en ellas hay \nel objeto {c:QItemObjetoEspejo}"
EventEsquinaEspejo3aciertos.text,"Cierras los ojos con furia.\nTu fuerza de voluntad no se deja doblegar.\nAgarras fuerte el objeto y lo sacas del cajon.\nUnas siluetas desparecen por los angulos del espejo.\n\nTienes en la mano  {c:QItemObjetoEspejo}"
EventEsquinaEspejoForat.button1,Continuar
EventEsquinaEspejoAgujeroSICruz.text,"Se parece mucho a la forma que reconociste en la punta de la daga al insertarse la pieza dorada del arcón.\nSi eres le investigador@ que lleva la Daga con el Indicador puedes continuar."
EventEsquinaEspejoAgujeroNODaga.text,"Ese orificio es muy sospechoso.\nTe preguntas si tendrà alguna utilidad. \nO necesitarà de algun elemento para usarlo."
EventEsquinaEspejoTengoDaga.text,"Sacas la daga que ahora brilla obscenamente.\nPruebas a introducirla en la diminuta grieta. \nEncaja perfectamente. \nEmpujas y escuchas un sonido metálico."
EventEsquinaEspejoTengoDaga.button1,Continuar
EventEsquinaEspejoTengoDagaClack.text,"Sonidos metálicos, engranajes que arrastran maderas, goznes oxidados. \nAlgo que se abre al otro lado de la pared.\n- ¿Que hay al otro lado?, te preguntas.\n"
EventEsquinaEspejoTengoDagaClack.button1,Continuar
EventEsquinaEspejoFIN.button1,Continuar
TokenCuinaAlmacenAcccion.button1,Investigar {action}
EventAlmacenAdPasadizo.text,"Observas la comida caida de la estanteria y ves que algo se ha movido y los ha hecho caer. Al apoyarte en el barril de harina este rueda y toda la pared se desliza suavemente ...\n \nQuita ficha de Acción"
EventAlmacenAdPasadizo.button1,Continuar
EventAlmacenPasadizo.text,"Descubres una trampilla que se abre a una zona oscura.\nPon un ficha de Pasadizo en el lugar indicado.\nSitua el módulo  {c:TileSotan}\nTres fichas de <color=grey>oscuridad</color> en sus espacios.\nY uno de Exploración en la puerta. \n\nPuedes avanzar un espacio"
EventAlmacenPasadizo.button1,Continuar
EventEsquinaEspejoNoCruzSiDaga.text,"Piensas en la Daga pero la forma de la punta no coincide exactamente\n¿Tienes la daga y quieres probar?"
EventEsquinaEspejoAgujeroNODaga.button1,Continuar
TokenHallCuadro.text,Una pintura antigua...
TokenHallCuadro.button1,Examinar {action}
UIHallQuadro.button1,Dejar de mirarlo
EventHallCuadroClick.text,"La antigua pintura representa un ritual escalofriante que tu razón no sabe concretar.\nAunque tu cuerpo se debate entre seguir mirandolo o destruirlo con tus uñas.\nRecibes una carta de Horror boca abajo anulada con {will}\n\nPuedes retirar la ficha de Búsqueda"
TokenCuinaArca.text,Hay un gran Arcón de viaje cerrado.
TokenCuinaArca.button1,Examinarlo  {action}
EventCuinaArcon.text,"Es un arcón de metal y madera negra.\nCerrado y sin cerradura.\nEn el frontal de hierro forjado hay elaborados grabados.\nDibujos geométricos y piedras preciosas que forman simbolos de tradiciones perdidas.\nMientras los observas te pican los ojos y se te seca la garganta.\n Y una niebla espesa empieza a invadir tu mente \nHaz una tirada de  ( {will},2 )"
EventCuinaArcon.button1,Superas la tirada
EventCuinaArcon.button2,Fallo
EventCuinaArcaFallo.text,|||Se te cierran los ojos y tienes visiones de playas hermosas.\n A tu alrededor bailan mujeres y hombres alrededor de una forma.\nUna sacerdotisa cubierta de barro y sangre danza y grita sonidos obscenos e irreconocbles.\n "Fnagh, fnagh, fnagh ftumeh!"\nDe repente el cuerpo del suelo se mueve y te mira con sus ojos secos, te hundes en sus ojos...\n\nRecibes una carta de Horror boca arriba.\nY quedas Desconcertado.|||
EventCuinaArcaFallo.button1,Continuar
EventCuinaArconFallo2.text,"Estudias los simbolos del arcón. Con mas cautela.\nIntentas no dejarte llevar por la fantasia.\nHueles el humo, sientes los tambores.\nDas un respingo y te apartas de su hechizo.\nRecibes una carta de Horror boca abajo."
EventCuinaArconFallo2.button1,Continuar
EventCuinaArconSuperat.button1,Continuar
EventCuinaArconTeDaga.text,"La figura triangular se parece mucho a la de la Daga Ritual que encontrasteis. \nEres el investigador que tiene la daga?"
EventCuinaArconTeDaga.button1,Tengo yo la daga
EventCuinaArconTeDaga.button2,No 
EventCuinaArconTENGOlaDaga.button1,Continuar
EventCuinaArconCruz.button1,Continuar
EventEsquinaEspejoAgujeroSICruz.button1,Tengo Daga e Indicador
EventCuinaArconCruz.text,"... suena otro chasquido metàlico.\nLa mano que sujeta la Daga vibra y esta sale de su prisión.\nPero algo ha cambiado.\nUna pieza dorada se ha incrustado en la hoja y le da un nuevo perfil. \nMirandola desde la punta tiene forma de cruz, de cruz griega.\n\nPon un ficha de Interacción en tu carta de Objeto Daga. \nAhora el indicador con la Daga son un solo objeto.\n{success}{success}\nAl usarla como arma de filo,  al doble de dados por magia, se suma que produce el doble de daño el resultado del ataque.\n(puedes consultarla en tu inventario de objetos)\n\nRetira ficha de Búsqueda.\n"
EventEsquinaEspejoNoCruzSiDaga.button1,Probar con Daga
EventEsquinaEspejoNoCruzSiDaga.button2,Dejarlo de momento
EventEsquinaEspejoPrueboconDaga.text,"Ves que no coincide pero lo intentas. \nLa punta entra facilmente pero no va mas allá\nPresionas un poco y remueves intentando encontrar mecanismos o engranajes \nNotas un pequeño cosquilleo en la mano"
EventEsquinaEspejoPrueboconDaga.button1,Continuar
EventCuinaAdRebost.text,"El pomo de la puerta esta sucio y pegajoso.\nNo quieres saber de que.\nAl abrir, a la izquierda una estanteria llena de productos sorprendentemente bien ordenados, paquetes de comida, sacos de arroz, barriles.\nEnfrente un enorme arcón como los que llevan los barcos de largo recorrido.\n\nAñade una ficha de Búsqueda.\n\nRetira la ficha de Exploración.\nPuedes moverte un espacio al interior."
EventCuinaAdRebost.button1,Continuar
TokenComedorTaula.text,La mesa està servida para varios comensales. Pero hace tiempo porque los platos y cubiertos tienen una capa de polvo. 
EventCuinaArconNODaga.button1,Continuar
EventCuinaArconTENGOlaDaga.text,"Sacas la Daga y ves el parecido de la ornamentación del mango con las tres piedras del arcón.\nCon la punta del cuchillo empujas el triangulo con fuerza.\nSuena un chasquido y se abre la tapa.\n\nEncuentras el Objeto {c:QItemObjetoComunArcon}\n\n Pero la Daga queda atrapada.\nTiras fuerte y no se mueve.\nPero al girarla..."
