.,French
EventDespatxAdExpl.text,"Les murs sont couverts de souvenirs macabres. Armes ancestrales, gravures de paysages tropicaux, grandes cartes d'îles inconnues, masques terrifiants ou trophées de chasse.\nAjoutez un pion Recherche.\n\nSur la table se trouvent des papiers. Placez un pion Recherche.\n\nVous pouvez vous déplacer d'une case vers l'intérieur.\n"
EventDespatxAdExpl.button1,Continuer
TokenDespatxTaula.text,"Il y a une pile de papiers sur la table.\nUne sorte de manuel ancestral avec une typographie chimérique, et des papiers avec des notes manuscrites.\nL'encrier s'est renversé et tache les documents.\nC'était cette odeur que vous sentiez, de l'encre fraîche !\n\nPour tenter de sauver les écrits, testez votre {agility}."
TokenDespatxTaula.button1,Continuer {action}
EventDespatxTaulaPassat.text,"Vous bondissez comme un tigre et réussissez à ramasser certains éléments.\nVous épongez l'encre avec un papier.\nLa majorité des documents est perdue mais vous parvenez à sauver le dernier.\nUn petit journal griffonné.\n\nVous ramassez l'objet unique {c:QItemDiario}.\nQue vous pouvez consulter dans votre Inventaire.\n\nRetirez le pion Recherche."
EventDespatxTaulaPassat.button1,Continuer
UIDiarioText1.uitext,"L'écriture est confuse et la plupart des pages \nsont dans des langues et des graphies inconnues.\nVous le feuilletez et tentez d'en lire des fragments.\nMais quelque chose vous empêche de vous en souvenir, \ncela vous fatigue et vous brouille la vue.\nVous ne déchiffrez que quelques phrases :\n<color=grey>(## sont des taches ou des trous)</color>\n "
UIDiarioText3.button1,Bouton1
UIDiarioText1.button1,Suivre
UIDiarioText2.uitext,"<i>... le plus important est la Famille##\n pour eux ##je fais ce# \n..Tous ensemble, réunis ###ouveau pour \n...parcouru les sept mers##.\n.. ##sagesse et connaissances arcanes pour pou#...\n...maudit Henry ! Je lui ai dit de ne rien ouvri##... </i>\n<i>...ils arrivent, le pire étant que cela n'affecte pas l...\n..me fournir de l'aide, eux si ##s... cas comme #rava ..."
EventRoomLlitGetArma.button1,Continuer
TokenCuinaExplRebost.button1,Ouvrir {action}
EventDespatxPortaForzar.text,"Vous saisissez un objet sur la table et frappez violemment la serrure. ({strength},3).\n\nL'objet se brise avec un fracas et vous blesse.\n\nVous recevez une carte Dégât.\n"
EventDespatxPortaSenseClau.button2,Le laisser, pour le moment
EventDespatxPortaForzarFail2.text,"En se brisant, l'objet vous fait perdre l'équilibre et vous tombez tête la première contre la porte.\n\nVous recevez l'état Étourdi.\nEt vous lâchez un Objet aléatoire de vos mains."
EventDespatxPortaForzarFail2.button1,Continuer
EventDespatxPortaForzaFail3.text,"Un fragment de l'objet saute et tombe sous la table.\n\nEn allant le ramasser, vous trouvez l'objet commun {c:QItemPitillera}."
EventDespatxPortaForzaFail3.button1,Continuer
EventBiblioAdfichas.text,"Il y a des étagères jusqu'au plafond remplies de choses intéressantes, étranges ou terrifiantes.\nAjoutez les pions Recherche.\n"
EventBiblioAdfichas.button1,Continuer
TokenBiblioQuadre.text,"C'est une composition très très ancienne.\nOn y devine une sorte de diagramme.\nIl y a des images qui deviennent floues quand on les regarde.\nElles vous font penser que cela cache quelque chose.\n\nVoulez-vous l'étudier de plus près {action} ?"
EventPasilloAdEsquina.text,"Le couloir continue en formant un angle.\n\nAjoutez la tuile {c:TileEsquina}.\nEt une porte au fond.\n\nDéplacez le pion Vue vers l'espace suivant."
EventPasilloAdEsquina.button1,Continuer
EventEsquinaAdObs.text,"Sur le mur de gauche, vous voyez un étrange meuble sombre.\nAu fond, un vieux tapis.\n\nPlacez les deux pions Recherche.\nAjoutez des pions exploration \nà la porte du fond et à celle de la salle de bain."
EventEsquinaAdObs.button1,Continuer
TokenEsquinaEspejo.text,"Un étrange meuble en vieux bois, avec un curieux miroir.\nVoulez-vous l'observer avec attention ?"
TokenEsquinaEspejo.button1,L'enquêter {action}
EventEsquinaEspejoLook.text,"Vous êtes surpris par la curieuse construction de ce meuble, sans moulures ni ornements.\nSimple, voire vulgaire, mais qui exerce sur vous l'effet séducteur de l'arcane.\nUn grand miroir repose dessus, il est encore plus vieux et bizarre. Il reflète les ombres et les déforme sur les murs comme si elles avaient une vie propre.\nEn touchant le bois, vous ressentez sa chaleur de soleil tropical séchant avec des parfums de cannelle et de clou de girofle. Son toucher chaud et doux est fascinant. Vous ouvrez les tiroirs et une nostalgie enfantine vous envahit. Vous trouvez quelque chose à l'intérieur mais vous ne voulez pas le sortir de ce récipient aimable et suggestif.\n\nFaites un test de {will}\n"
EventEsquinaEspejoLook.button1,{success} {success} ou plus
TokenEsquinaCatifa.text,"Un grand tapis recouvre le sol.\nVous voyez un pli suspect.\nVoulez-vous enquêter ?"
TokenEsquinaCatifa.button1,Enquêter {action}
EventEsquinaCatifa.text,"Ce tapis est d'une beauté sinistre.\nIl est parcouru de motifs ethniques. Ils semblent représenter des danses festives ou des banquets très schématiques et grossiers. Certains personnages sautent tous ensemble autour d'un feu.\nIls semblent rire et boire dans de grands bols dégoulinants. D'autres regardent avec de grands yeux fixes et noirs, qui remuent vos souvenirs archétypaux les plus instinctifs.\n\nVous recevez une carte Horreur face cachée, annulée par {will}\n\nPrès de la porte du fond, le tapis est froissé, aggloméré.\nComme si une substance sombre et visqueuse l'avait imprégné.\nEt que quelque chose de lourd avait été traîné, depuis la porte, par-dessus le tapis vers la salle de bain.\n\nVous recevez l'objet unique {c:QItemPruebaAlfombra}.\n\nRetirez le pion Recherche."
EventEsquinaCatifa.button1,Continuer
EventEsquinaEspejo3aciertos.button1,Continuer
EventEsquinaEspejoForat.text,"Vous vous voyez dans les clairs-obscurs reflétés par le miroir.\nVous vous regardez dans les yeux et remarquez quelque chose d'étrange au niveau de votre bouche.\nVous n'avez pas de bouche ! Ce n'est pas votre bouche : c'est un trou !\n\nRetournez le pion Observation pour qu'il devienne un pion Interaction.\nC'est un petit orifice.\nVous prenez peur mais...\nCe n'est pas votre reflet, c'est dans le miroir lui-même.\nVous bougez la tête et effectivement, l'insignifiante fente demeure.\nVous vous approchez pour l'observer.\nElle a une forme curieuse. Comme une croix grecque.\nRemplacez le pion Exploration par un pion Interaction."
EventEsquinaEspejoVisto.text,Le miroir continue de vous attirer comme le courant d'une rivière vers une cascade...
EventEsquinaEspejoVisto.button1,Continuer
EventEsquinaEspejoLook.button2,{success}
EventEsquinaEspejoLook.button3,Échec
EventEsquinaEspejo1Acierto.text,"La sensation est si douce que vous voulez rester là.\nPour toujours...\nMais vous savez que ce n'est pas réel. Vous vous rappelez où vous êtes.\nVous luttez pour récupérer vos mains et quelques échardes de bois s'enfoncent dans votre chair.\n\nVous recevez une carte Dégât, annulée par {agility}.\nVous retirez vos mains engourdies, et elles tiennent\nl'objet {c:QItemObjetoEspejo}."
EventEsquinaEspejo3aciertos.text,"Vous fermez les yeux avec fureur.\nVotre volonté ne se laisse pas fléchir.\nVous saisissez fermement l'objet et le sortez du tiroir.\nDes silhouettes disparaissent dans les angles du miroir.\n\nVous avez en main {c:QItemObjetoEspejo}."
EventEsquinaEspejoForat.button1,Continuer
EventEsquinaEspejoAgujeroSICruz.text,"Cela ressemble beaucoup à la forme que vous avez reconnue sur la pointe de la dague lorsque la pièce dorée du coffre s'y est insérée.\nSi vous êtes l'investigateur qui porte la Dague avec l'Indicateur, vous pouvez continuer."
EventEsquinaEspejoAgujeroNODaga.text,"Cet orifice est très suspect.\nIl a la forme d'une croix grecque.\nVous vous demandez s'il a une utilité.\nOu s'il nécessite un élément particulier pour être utilisé."
EventEsquinaEspejoTengoDaga.text,"Vous sortez la dague, qui brille maintenant d'un éclat obscène.\nVous essayez de l'introduire dans la minuscule fissure.\nElle s'emboîte parfaitement.\nVous poussez et entendez un bruit métallique."
EventEsquinaEspejoTengoDaga.button1,Continuer
EventEsquinaEspejoTengoDagaClack.text,"Des sons métalliques, des engrenages qui entraînent le bois, des gonds rouillés.\nQuelque chose s'ouvre de l'autre côté du mur.\n- Qu'y a-t-il de l'autre côté ?, vous demandez-vous.\n"
EventEsquinaEspejoTengoDagaClack.button1,Continuer
EventEsquinaEspejoFIN.button1,Continuer
TokenCuinaAlmacenAcccion.button1,Enquêter {action}
EventAlmacenAdPasadizo.text,"Vous observez la nourriture tombée de l'étagère et voyez que quelque chose a bougé et l'a fait tomber. En vous appuyant sur le baril de farine, celui-ci roule et tout le mur coulisse doucement...\n\nRetirez le pion Action."
EventAlmacenAdPasadizo.button1,Continuer
EventAlmacenPasadizo.text,"Vous découvrez une trappe qui s'ouvre sur une zone sombre.\nPlacez un pion Passage à l'endroit indiqué.\nPlacez la tuile {c:TileSotan}.\nTrois pions <color=grey>obscurité</color> sur leurs emplacements.\nEt un pion Exploration sur la porte.\n\nVous pouvez avancer d'une case."
EventAlmacenPasadizo.button1,Continuer
EventEsquinaEspejoNoCruzSiDaga.text,"Vous pensez à la Dague mais la forme de la pointe ne coïncide pas exactement.\nAvez-vous la dague et voulez-vous essayer ?"
EventEsquinaEspejoAgujeroNODaga.button1,Continuer
TokenHallCuadro.text,Une peinture ancienne...
TokenHallCuadro.button1,Examiner {action}
UIHallQuadro.button1,Arrêter de regarder
EventHallCuadroClick.text,"L'ancienne peinture représente un rituel terrifiant que votre raison ne parvient pas à définir.\nCependant, votre corps hésite entre continuer à la regarder ou la lacérer de vos ongles.\nVous recevez une carte Horreur face cachée, annulée par {will}.\n\nVous pouvez retirer le pion Recherche."
TokenCuinaArca.text,Il y a un grand coffre de voyage fermé.
TokenCuinaArca.button1,L'examiner {action}
EventCuinaArcon.text,"C'est un coffre de métal et de bois noir.\nFermé et sans serrure.\nSur la façade en fer forgé se trouvent des gravures élaborées.\nDes dessins géométriques et des pierres précieuses qui forment des symboles de traditions perdues.\nTandis que vous les observez, vos yeux vous piquent et votre gorge s'assèche.\nEt un brouillard épais commence à envahir votre esprit.\nFaites un test de ({will}, 2)."
EventCuinaArcon.button1,Réussite
EventCuinaArcon.button2,Échec
EventCuinaArcaFallo.text,|||Vos yeux se ferment et vous avez des visions de plages magnifiques.\nAutour de vous, des femmes et des hommes dansent autour d'une forme.\nUne prêtresse couverte de boue et de sang danse et hurle des sons obscènes et méconnaissables.\n\"Fnagh, fnagh, fnagh ftumeh !\"\nSoudain, le corps au sol bouge et vous regarde avec ses yeux secs, vous sombrez dans son regard...\n\nVous recevez une carte Horreur face visible.\nEt vous devenez Déconcerté.|||
EventCuinaArcaFallo.button1,Continuer
EventCuinaArconFallo2.text,"Vous étudiez les symboles du coffre. Avec plus de prudence.\nVous essayez de ne pas vous laisser emporter par l'illusion.\nVous sentez la fumée, vous entendez les tambours.\nVous sursautez et vous vous arrachez à son sortilège.\nVous recevez une carte Horreur face cachée."
EventCuinaArconFallo2.button1,Continuer
EventCuinaArconSuperat.button1,Continuer
EventCuinaArconTeDaga.text,"La figure triangulaire ressemble beaucoup à celle de la Dague Rituelle que vous avez trouvée.\nÊtes-vous l'investigateur qui possède la dague ?"
EventCuinaArconTeDaga.button1,J'ai la dague
EventCuinaArconTeDaga.button2,Non
EventCuinaArconTENGOlaDaga.button1,Continuer
EventCuinaArconCruz.button1,Continuer
EventEsquinaEspejoAgujeroSICruz.button1,J'ai la Dague et l'Indicateur
